"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"301","","Josh Allen","BUF","QB34","11","265","302","292.6","10.3","279.0","-22.0"
"302","","Jaron Brown","SEA","WR108","7","260","288","279.8","11.5","332.0","+30.0"
"303","","Tavon Austin","DAL","WR109","8","261","307","281.3","17.8","264.0","-39.0"
"304","","Luke Willson","DET","TE36","6","251","317","281.5","26.1","299.0","-5.0"
"305","","Ka'imi Fairbairn","HOU","K21","10","226","330","295.8","17.7","283.0","-22.0"
"306","","Rishard Matthews","NYJ","WR110","11","243","288","263.7","18.6","175.0","-131.0"
"307","","Marcus Murphy","BUF","RB81","11","252","332","287.8","29.5","379.0","+72.0"
"308","","Detroit (DET)","","DST26","6","282","328","300.0","13.0","263.0","-45.0"
"309","","New York (NYG)","","DST27","9","262","312","301.0","14.1","311.0","+2.0"
"310","","Ryan Griffin","HOU","TE37","10","255","323","301.4","25.5","276.0","-34.0"
"311","","Jonnu Smith","TEN","TE38","8","257","320","292.3","25.9","362.0","+51.0"
"312","","Dustin Hopkins","WAS","K22","4","249","334","303.0","30.3","291.0","-21.0"
"313","","Brett Maher","DAL","K23","8","272","324","293.8","19.6","335.0","+22.0"
"314","","Jason Myers","NYJ","K24","11","230","265","247.5","17.5","",""
"315","","Kendrick Bourne","SF","WR111","11","235","264","249.5","14.5","486.0","+171.0"
