"Rank","WSIT","Overall","Team","Pos","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"148","","Kenny Stills","MIA","WR59","11","112","183","149.8","14.0","115.0","-33.0"
"149","","Los Angeles (LAR)","","DST1","12","115","172","150.8","9.1","146.0","-3.0"
"150","","Chris Hogan","NE","WR60","11","134","192","151.8","11.6","55.0","-95.0"
"151","","Chicago (CHI)","","DST2","5","133","174","152.7","11.5","194.0","+43.0"
"152","","Mike Davis","SEA","RB52","7","147","180","157.0","6.0","",""
"153","","C.J. Uzomah","CIN","TE18","9","127","165","157.2","6.3","",""
"154","","Keelan Cole","JAC","WR61","9","138","179","158.0","8.8","131.0","-23.0"
"155","","Jacksonville (JAC)","","DST3","9","141","177","160.2","8.8","140.0","-15.0"
"156","","D.J. Moore","CAR","WR62","4","120","226","160.8","30.4","128.0","-28.0"
"157","","Quincy Enunwa","NYJ","WR63","11","125","191","160.8","14.6","257.0","+100.0"
"158","","Javorius Allen","BAL","RB53","10","88","223","161.2","21.0","227.0","+69.0"
"159","","Willie Snead","BAL","WR64","10","112","190","162.8","10.7","307.0","+148.0"
"160","","Baltimore (BAL)","","DST4","10","106","213","163.8","8.1","170.0","+10.0"
"161","","Marquez Valdes-Scantling","GB","WR65","7","96","199","164.5","23.5","413.0","+252.0"
"162","","Derek Carr","OAK","QB22","7","115","181","165.3","9.9","135.0","-27.0"
"163","","Giovani Bernard","CIN","RB54","9","135","200","168.0","11.2","144.0","-19.0"
"164","","Minnesota (MIN)","","DST5","10","162","210","170.8","7.2","150.0","-14.0"
"165","","David Moore","SEA","WR66","7","128","243","171.0","15.6","391.0","+226.0"
"166","","Marcus Mariota","TEN","QB23","8","145","215","171.0","19.4","137.0","-29.0"
"167","","Benjamin Watson","NO","TE19","6","147","199","171.2","10.9","184.0","+17.0"
"168","","Ryan Fitzpatrick","TB","QB24","5","116","287","172.0","57.4","287.0","+119.0"
"169","","Ricky Seals-Jones","ARI","TE20","9","144","210","172.0","11.7","192.0","+23.0"
"170","","Chris Ivory","BUF","RB55","11","136","236","173.7","7.4","234.0","+64.0"
"171","","Case Keenum","DEN","QB25","10","150","231","174.0","10.2","180.0","+9.0"
"172","","Ronald Jones II","TB","RB56","5","129","261","176.5","28.2","99.0","-73.0"
"173","","Antonio Callaway","CLE","WR67","11","131","206","176.7","16.1","284.0","+111.0"
"174","","Eli Manning","NYG","QB26","9","160","190","177.2","6.8","160.0","-14.0"
"175","","Houston (HOU)","","DST6","10","160","200","177.3","8.4","173.0","-2.0"
"176","","Jamison Crowder","WAS","WR68","4","147","236","177.5","14.6","105.0","-71.0"
"177","","Danny Amendola","MIA","WR69","11","151","225","180.2","20.8","217.0","+40.0"
"178","","Alfred Morris","SF","RB57","11","149","217","183.0","16.1","122.0","-56.0"
"179","","Hayden Hurst","BAL","TE21","10","146","251","183.8","15.6","231.0","+52.0"
"180","","Cole Beasley","DAL","WR70","8","152","224","186.2","12.3","243.0","+63.0"
"181","","Philadelphia (PHI)","","DST7","9","169","247","187.5","17.1","155.0","-26.0"
"182","","Kelvin Benjamin","BUF","WR71","11","160","218","187.8","15.2","113.0","-69.0"
"183","","Blake Bortles","JAC","QB27","9","135","251","190.5","29.9","201.0","+18.0"
"184","","Paul Richardson","WAS","WR72","4","154","209","192.7","8.6","202.0","+18.0"
"185","","Stephen Gostkowski","NE","K1","11","182","266","192.8","10.7","120.0","-65.0"
"186","","Chester Rogers","IND","WR73","9","166","217","193.2","10.5","325.0","+139.0"
"187","","Anthony Miller","CHI","WR74","5","156","219","193.3","12.7","162.0","-25.0"
"188","","Denver (DEN)","","DST8","10","169","267","196.0","21.2","177.0","-11.0"
"189","","Chris Herndon IV","NYJ","TE22","11","177","247","198.0","20.7","417.0","+228.0"
"190","","Pierre Garcon","SF","WR75","11","172","226","198.3","8.0","98.0","-92.0"
"191","","C.J. Beathard","SF","QB28","11","142","256","198.8","29.7","",""
"192","","Rashaad Penny","SEA","RB58","7","154","223","198.8","9.5","79.0","-113.0"
"193","","Devontae Booker","DEN","RB59","10","133","274","199.2","23.9","124.0","-69.0"
"194","","Ty Montgomery","BAL","RB60","10","157","244","199.5","17.2","133.0","-61.0"
"195","","Justin Tucker","BAL","K2","10","174","264","199.5","18.3","138.0","-57.0"
"196","","Elijah McGuire","NYJ ","RB61","11","127","324","201.7","51.1","311.0","+115.0"
"197","","Cameron Brate","TB","TE23","5","163","288","203.3","20.5","198.0","+1.0"
"198","","Cameron Meredith","NO","WR76","6","161","239","203.8","18.0","178.0","-20.0"
"199","","Dallas Goedert","PHI","TE24","9","178","239","204.3","22.7","250.0","+51.0"
"200","","LeGarrette Blount","DET","RB62","6","126","318","205.2","27.9","141.0","-59.0"
"201","","Sam Darnold","NYJ","QB29","11","158","242","206.0","23.1","245.0","+44.0"
"202","","Wil Lutz","NO","K3","6","186","228","206.8","12.3","154.0","-48.0"
"203","","Spencer Ware","KC","RB63","12","151","250","207.8","37.8","181.0","-22.0"
"204","","Seattle (SEA)","","DST9","7","114","297","210.7","7.3","229.0","+25.0"
"205","","Josh Adams","PHI","RB64","9","119","318","184.0","53.6","",""
"206","","Taywan Taylor","TEN","WR77","8","191","241","211.3","10.5","259.0","+53.0"
"207","","Michael Gallup","DAL","WR78","8","187","255","213.2","15.9","142.0","-65.0"
"208","","Harrison Butker","KC","K4","12","195","265","213.2","6.2","157.0","-51.0"
"209","","Ryan Grant","IND","WR79","9","158","266","213.3","9.9","265.0","+56.0"
"210","","Jeff Heuerman","DEN","TE25","10","183","248","213.7","23.9","407.0","+197.0"
"211","","Martavis Bryant","OAK","WR80","7","188","258","215.8","18.4","197.0","-14.0"
"212","","Jakeem Grant","MIA","WR81","11","196","248","218.0","7.8","",""
"213","","D'Onta Foreman","HOU ","RB65","10","102","244","195.2","29.1","168.0","-45.0"
"214","","Tennessee (TEN)","","DST10","8","167","283","221.5","15.2","228.0","+14.0"
"215","","Josh Doctson","WAS","WR82","4","207","256","224.2","14.4","145.0","-70.0"
"216","","Charles Clay","BUF","TE26","11","193","286","226.0","26.8","215.0","-1.0"
"217","","Jermaine Kearse","NYJ","WR83","11","187","313","226.3","18.0","276.0","+59.0"
"218","","Theo Riddick","DET","RB66","6","159","260","203.6","20.6","187.0","-31.0"
"219","","Los Angeles (LAC)","","DST11","8","167","297","204.8","23.7","163.0","-56.0"
"220","","Cleveland (CLE)","","DST12","11","162","237","206.6","22.4","237.0","+17.0"
"221","","Jordan Wilkins","IND","RB67","9","210","258","230.2","6.0","149.0","-72.0"
"222","","Matt Bryant","ATL","K5","8","187","273","207.2","20.1","166.0","-56.0"
"223","","Greg Zuerlein","LAR","K6","12","174","264","232.5","29.9","126.0","-97.0"
"224","","Carolina (CAR)","","DST13","4","198","231","210.8","7.3","195.0","-29.0"
"225","","New York (NYJ)","","DST14","11","181","264","212.4","7.4","359.0","+134.0"
